objectid,filename,title,format,latitude,longitude,date,subject,location,creator,description,box,folder,publisher,youtubeid
109,image0419.jpg,Basic Oxygen Process (BOP) Shop at U.S. Steel,image/jpeg,,,1981,Field photography,"Gary, Indiana",Richard Dorson,,1,Folder 5,Indiana University Northwest Archives,
110,image0420.jpg,Railroad Siding,image/jpeg,,,1981,Field photography,"Hammond, Indiana",Richard Dorson,,1,Folder 5,Indiana University Northwest Archives,
111,image0421.jpg,Refinery Towers,image/jpeg,,,1981,Field photography,"Hammond, Indiana",Richard Dorson,,1,Folder 5,Indiana University Northwest Archives,
112,image0422.jpg,Railroad Tracks Leading to a Refinery in Whiting,image/jpeg,,,1981,Field photography,"Whiting, Indiana",Richard Dorson,,1,Folder 5,Indiana University Northwest Archives,
113,image0423.jpg,"""Nick"" - Owner Acropol Store, Broadway, Gary circa 1976",image/jpeg,,,1981,Field photography,"Gary, Indiana",Richard Dorson,,1,Folder 5,Indiana University Northwest Archives,
114,image0424.jpg,Greater Gary Community Choir Warming Up,image/jpeg,,,1981,Field photography,"Gary, Indiana",John Hasse,"The Greater Gary Community Choir warming up on Broadway in Gary, Indiana prior to a performance at the New Spirit of Lane Church (B46 B'Way)",1,Folder 5,Indiana University Northwest Archives,
115,image0425.jpg,Melnic Storefront,image/jpeg,,,1976,Field photography,"Gary, Indiana",Gilbert Cooley,"The Melnic shop in Gary, Indiana. This shop specialized in catering to individuals that practiced hoodoo.",1,Folder 5,Indiana University Northwest Archives,
116,image0426.jpg,Jeffries Place Iconography and Rev. Kirby Jeffries,image/jpeg,,,1976,Field photography,"Gary, Indiana",Gilbert Cooley,,1,Folder 5,Indiana University Northwest Archives,
117,image0427.jpg,Jeffries Place,image/jpeg,,,1976,Field photography,"Gary, Indiana",Gilbert Cooley,,1,Folder 5,Indiana University Northwest Archives,
,,Medicines and Remedies in Melnic,image/jpeg,,,1976,Field photography,"Gary, Indiana",Gilbert Cooley,"An image of assorted medications and remedies sold by Melnic, a hoodoo store in Gary, Indiana.",1,Folder 5,Indiana University Northwest Archives,
